game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
AlphaBeta++__vs__Génétique+__seed6060002__Bstart,,B,A,victory,8,"2,1,CIRCLE | 1,2,CIRCLE | 3,1,SQUARE | 0,0,TRIANGLE",2.902928,4.371885,4,4,143,171,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed7070001__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,TRIANGLE | 0,2,SQUARE | 3,0,DIAMOND",3.509696,3.952099,5,4,179,133,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed7070002__Bstart,,B,A,victory,12,"3,1,CIRCLE | 1,2,CIRCLE | 0,0,DIAMOND | 1,0,SQUARE",3.074042,5.030841,6,6,140,196,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed8080001__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,2,SQUARE | 0,3,SQUARE | 1,0,DIAMOND",2.987489,3.112848,4,3,173,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed8080002__Bstart,,B,B,victory,9,"0,3,TRIANGLE | 2,1,CIRCLE | 3,2,SQUARE | 1,3,SQUARE",2.770783,4.437407,4,5,138,186,0,0,0,0,1,0
AlphaBeta++__vs__Génétique+__seed9090001__Astart,,A,A,victory,9,"1,1,CIRCLE | 0,3,TRIANGLE | 0,2,SQUARE | 1,0,DIAMOND",3.567650,3.947198,5,4,181,135,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed9090002__Bstart,,B,A,victory,8,"1,2,TRIANGLE | 2,1,CIRCLE | 1,1,TRIANGLE | 2,2,SQUARE",2.731372,4.373812,4,4,147,157,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed1120001__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,DIAMOND | 0,2,SQUARE | 1,0,TRIANGLE",3.544493,3.802164,5,4,187,140,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed1120002__Bstart,,B,B,victory,11,"2,1,DIAMOND | 1,2,CIRCLE | 3,3,TRIANGLE | 1,1,TRIANGLE",2.738709,4.848227,5,6,142,181,0,0,0,0,1,0
AlphaBeta++__vs__Génétique+__seed2130001__Astart,,A,A,victory,9,"1,1,CIRCLE | 3,0,SQUARE | 2,0,TRIANGLE | 3,3,SQUARE",4.075577,3.887577,5,4,189,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed2130002__Bstart,,B,A,victory,8,"2,3,TRIANGLE | 1,1,CIRCLE | 1,2,SQUARE | 3,2,DIAMOND",2.714209,4.306275,4,4,142,167,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed3140001__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,0,SQUARE | 2,2,TRIANGLE | 3,2,DIAMOND",3.432586,4.032831,5,4,189,131,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed3140002__Bstart,,B,A,victory,10,"2,2,CIRCLE | 1,1,CIRCLE | 2,0,DIAMOND | 0,1,DIAMOND",2.810687,4.965423,5,5,157,174,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed4150001__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,0,DIAMOND | 2,2,SQUARE | 1,3,DIAMOND",3.469017,3.964789,5,4,192,121,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed4150002__Bstart,,B,A,victory,10,"2,1,CIRCLE | 1,2,CIRCLE | 0,0,TRIANGLE | 2,3,TRIANGLE",2.840759,5.055982,5,5,150,181,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed5160001__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,0,TRIANGLE | 2,2,SQUARE | 3,2,DIAMOND",3.448939,3.976535,5,4,188,139,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed5160002__Bstart,,B,B,victory,9,"2,1,CIRCLE | 1,2,CIRCLE | 3,3,TRIANGLE | 0,1,TRIANGLE",2.858466,4.772431,4,5,139,186,0,0,0,0,1,0
AlphaBeta++__vs__Génétique+__seed6170001__Astart,,A,A,victory,9,"1,1,CIRCLE | 1,2,TRIANGLE | 0,3,SQUARE | 2,2,TRIANGLE",3.911901,4.311321,5,4,198,125,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed6170002__Bstart,,B,A,victory,10,"2,1,CIRCLE | 1,2,CIRCLE | 2,3,SQUARE | 3,3,DIAMOND",2.876554,5.219223,5,5,149,186,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed7180001__Astart,,A,A,victory,11,"1,1,CIRCLE | 2,3,CIRCLE | 0,3,SQUARE | 2,2,SQUARE",3.936688,4.871170,6,5,206,145,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed7180002__Bstart,,B,B,no_move,9,"0,3,CIRCLE | 2,1,SQUARE | 3,2,DIAMOND | 1,3,TRIANGLE",2.813518,4.813355,4,5,127,170,0,0,0,0,0,0
AlphaBeta++__vs__Génétique+__seed8190001__Astart,,A,A,victory,13,"1,1,CIRCLE | 2,2,DIAMOND | 0,2,SQUARE | 3,0,TRIANGLE",3.530160,5.194277,7,6,192,149,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed8190002__Bstart,,B,A,victory,10,"2,1,CIRCLE | 1,2,CIRCLE | 1,0,TRIANGLE | 2,3,TRIANGLE",3.740382,5.538163,5,5,168,178,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed9200001__Astart,,A,A,victory,11,"1,1,CIRCLE | 3,0,TRIANGLE | 2,0,SQUARE | 0,1,DIAMOND",4.006174,5.012388,6,5,190,133,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed9200002__Bstart,,B,A,victory,8,"0,2,SQUARE | 1,1,CIRCLE | 1,0,TRIANGLE | 0,3,DIAMOND",2.726009,4.437257,4,4,137,164,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed1010003__Astart,,A,A,victory,9,"1,1,CIRCLE | 0,3,TRIANGLE | 0,2,SQUARE | 1,0,DIAMOND",3.887147,4.409201,5,4,186,128,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed1010004__Bstart,,B,B,no_move,9,"1,2,SQUARE | 2,1,CIRCLE | 3,3,DIAMOND | 0,3,TRIANGLE",2.866561,4.747822,4,5,128,172,0,0,0,0,0,0
AlphaBeta++__vs__Génétique+__seed2020003__Astart,,A,A,victory,9,"1,1,CIRCLE | 2,2,SQUARE | 0,3,SQUARE | 0,0,DIAMOND",4.041106,4.448911,5,4,190,137,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed2020004__Bstart,,B,A,victory,8,"1,1,SQUARE | 2,2,CIRCLE | 3,2,SQUARE | 0,3,TRIANGLE",2.990459,4.432819,4,4,139,151,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed3030003__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,0,DIAMOND | 2,2,SQUARE | 3,1,TRIANGLE",3.102887,3.277740,4,3,183,120,0,0,0,0,0,1
AlphaBeta++__vs__Génétique+__seed3030004__Bstart,,B,B,victory,11,"2,2,DIAMOND | 1,1,CIRCLE | 3,0,TRIANGLE | 2,3,TRIANGLE",3.053545,5.386220,5,6,140,184,0,0,0,0,1,0
AlphaBeta++__vs__Génétique+__seed4040003__Astart,,A,A,victory,9,"1,1,CIRCLE | 1,2,SQUARE | 3,0,SQUARE | 2,0,DIAMOND",3.471842,4.385491,5,4,183,144,0,0,0,0,0,1
