game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
MCTS (baseline)__vs__MCTS+__seed1010006__Bstart,,B,B,victory,9,"3,3,SQUARE | 1,3,TRIANGLE | 2,0,TRIANGLE | 0,1,CIRCLE",2.400324,4.800877,4,5,128,185,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed2020005__Astart,,A,B,victory,8,"1,1,CIRCLE | 1,0,DIAMOND | 2,3,CIRCLE | 0,2,SQUARE",2.400406,3.608001,4,4,151,131,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed2020006__Bstart,,B,B,victory,7,"1,3,TRIANGLE | 3,3,CIRCLE | 2,2,DIAMOND | 0,1,CIRCLE",1.800440,3.610696,3,4,111,178,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed3030005__Astart,,A,B,no_move,12,"2,0,DIAMOND | 3,3,SQUARE | 0,2,DIAMOND | 1,1,SQUARE",3.600762,7.201255,6,6,164,126,0,0,0,0,0,0
MCTS (baseline)__vs__MCTS+__seed3030006__Bstart,,B,B,victory,11,"1,2,DIAMOND | 2,2,TRIANGLE | 3,0,SQUARE | 1,0,TRIANGLE",3.000208,6.001089,5,6,125,188,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed4040005__Astart,,A,B,no_move,12,"3,3,CIRCLE | 2,3,TRIANGLE | 0,0,CIRCLE | 1,2,DIAMOND",3.600430,7.201438,6,6,159,139,1,0,0,0,0,0
MCTS (baseline)__vs__MCTS+__seed4040006__Bstart,,B,B,victory,9,"3,1,TRIANGLE | 0,0,CIRCLE | 1,0,SQUARE | 2,3,CIRCLE",2.400373,4.801164,4,5,124,185,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed5050005__Astart,,A,B,victory,8,"2,2,TRIANGLE | 1,1,CIRCLE | 3,3,SQUARE | 3,0,DIAMOND",2.400345,3.600404,4,4,163,141,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed5050006__Bstart,,B,B,victory,9,"2,1,SQUARE | 0,0,TRIANGLE | 1,0,CIRCLE | 3,2,TRIANGLE",2.400388,4.801395,4,5,124,185,0,0,0,0,1,0
MCTS (baseline)__vs__MCTS+__seed6060005__Astart,,A,A,victory,13,"3,2,SQUARE | 3,0,CIRCLE | 2,2,DIAMOND | 0,3,TRIANGLE",4.200473,7.200587,7,6,200,151,0,0,0,0,0,1
MCTS (baseline)__vs__MCTS+__seed6060006__Bstart,,B,A,victory,10,"0,0,CIRCLE | 3,1,CIRCLE | 1,3,DIAMOND | 2,3,CIRCLE",3.000464,6.001135,5,5,143,192,0,0,0,0,0,1
