game_uid,pair,starter,winner,end_reason,plies_total,opening,time_p1,time_p2,moves_p1,moves_p2,branch_sum_p1,branch_sum_p2,forced_p1,forced_p2,missed_win_p1,missed_win_p2,gave_opp_win_p1,gave_opp_win_p2
Génétique (éval AB)__vs__Génétique (éval AB)+__seed4150004__Bstart,,B,B,victory,7,"3,0,CIRCLE | 1,2,TRIANGLE | 1,1,DIAMOND | 2,3,SQUARE",8.226809,2.465090,3,4,121,174,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed5160003__Astart,,A,A,victory,7,"1,1,CIRCLE | 2,2,CIRCLE | 2,0,TRIANGLE | 0,1,SQUARE",8.354182,2.476725,4,3,178,122,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed5160004__Bstart,,B,A,victory,8,"2,1,SQUARE | 1,1,TRIANGLE | 1,2,CIRCLE | 0,3,DIAMOND",9.855401,2.484833,4,4,143,176,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed6170003__Astart,,A,A,victory,7,"0,3,SQUARE | 2,1,DIAMOND | 2,2,CIRCLE | 1,2,TRIANGLE",4.609117,2.602792,4,3,179,121,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed6170004__Bstart,,B,B,victory,9,"3,2,CIRCLE | 2,1,CIRCLE | 1,1,SQUARE | 0,3,SQUARE",10.023231,2.643426,4,5,132,188,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed7180003__Astart,,A,A,victory,9,"0,0,SQUARE | 2,1,DIAMOND | 1,2,CIRCLE | 1,0,TRIANGLE",5.241168,3.068742,5,4,189,138,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed7180004__Bstart,,B,B,victory,9,"1,1,CIRCLE | 2,2,DIAMOND | 0,3,TRIANGLE | 3,0,TRIANGLE",10.838720,2.759543,4,5,135,189,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed8190003__Astart,,A,A,victory,9,"0,0,TRIANGLE | 3,3,DIAMOND | 2,1,DIAMOND | 1,2,SQUARE",4.364525,3.130319,5,4,188,136,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed8190004__Bstart,,B,B,victory,7,"2,0,CIRCLE | 1,1,CIRCLE | 2,1,SQUARE | 3,2,SQUARE",10.438501,2.500006,3,4,121,174,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed9200003__Astart,,A,A,victory,7,"0,2,TRIANGLE | 1,1,CIRCLE | 1,0,DIAMOND | 2,2,SQUARE",6.248836,2.525940,4,3,178,122,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed9200004__Bstart,,B,B,victory,11,"1,1,SQUARE | 2,1,CIRCLE | 2,2,DIAMOND | 3,0,TRIANGLE",10.473969,2.907030,5,6,145,202,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed1010005__Astart,,A,A,victory,7,"2,3,DIAMOND | 1,2,SQUARE | 1,1,TRIANGLE | 2,1,CIRCLE",6.168479,2.718091,4,3,179,120,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed1010006__Bstart,,B,B,victory,9,"1,2,DIAMOND | 2,2,SQUARE | 3,0,TRIANGLE | 0,1,CIRCLE",8.612684,3.074373,4,5,132,190,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed2020005__Astart,,A,A,victory,7,"3,3,DIAMOND | 2,1,CIRCLE | 1,2,TRIANGLE | 1,3,SQUARE",4.355760,2.513655,4,3,178,119,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed2020006__Bstart,,B,B,victory,7,"0,1,CIRCLE | 2,2,SQUARE | 1,2,TRIANGLE | 3,1,TRIANGLE",10.395509,2.564064,3,4,119,176,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed3030005__Astart,,A,A,victory,7,"1,2,CIRCLE | 2,1,DIAMOND | 0,1,SQUARE | 3,2,SQUARE",7.075847,2.882127,4,3,177,121,0,0,0,0,0,1
Génétique (éval AB)__vs__Génétique (éval AB)+__seed3030006__Bstart,,B,B,victory,9,"1,3,DIAMOND | 2,1,TRIANGLE | 2,2,SQUARE | 0,0,SQUARE",8.135206,2.579517,4,5,131,185,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed4040005__Astart,,A,B,victory,10,"2,2,DIAMOND | 2,1,CIRCLE | 1,1,TRIANGLE | 3,3,SQUARE",6.295288,3.784248,5,5,190,157,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed4040006__Bstart,,B,B,victory,9,"1,0,DIAMOND | 2,2,CIRCLE | 2,1,SQUARE | 0,3,TRIANGLE",9.009017,2.701265,4,5,137,186,0,0,0,0,1,0
Génétique (éval AB)__vs__Génétique (éval AB)+__seed5050005__Astart,,A,A,victory,7,"2,0,DIAMOND | 2,1,CIRCLE | 1,2,SQUARE | 1,0,TRIANGLE",4.154350,2.697273,4,3,182,121,0,0,0,0,0,1
